20,2.15820837020874,0.23062843084335,3,5,3,0,3,1,3.5,SRID=4326;POINT(120.77799498301638 31.59237306475193)
21,2.22753429412842,0.10146830976009,10,5,3,0,3,1,3.5,SRID=4326;POINT(120.7776505932145 31.59277553191999)
22,2.20380043983459,-0.1694695353508,3,5,3,0,3,1,3.5,SRID=4326;POINT(120.77683801018253 31.59368035059489)
23,-2.71429300308228,0.46740347146988,10,5,3,0,3,1,3.5,SRID=4326;POINT(120.77632110447311 31.59377887262269)
24,2.15110230445862,-0.35140138864517,3,5,3,0,2,1,3.0,SRID=4326;POINT(120.77713715302905 31.5898570931244)
25,2.14267230033875,0.08629162609577,10,5,3,0,2,1,3.0,SRID=4326;POINT(120.77691839749819 31.59012938072789)
26,2.15395927429199,-0.36039993166924,3,5,3,0,2,1,3.0,SRID=4326;POINT(120.77589717262276 31.59140917956454)
27,2.15405941009521,-0.79895961284637,10,5,3,0,2,1,3.0,SRID=4326;POINT(120.77568090062674 31.59167623043688)
28,2.15504932403564,-0.16346015036106,3,5,3,0,2,1,3.0,SRID=4326;POINT(120.77480196270949 31.59277717620651)
30,-0.96803462505341,-0.08681946992874,10,5,3,0,3,1,3.5,SRID=4326;POINT(120.7747325868609 31.59277268744831)
31,-1.00200366973877,0.02237781323493,3,5,3,0,2,1,3.0,SRID=4326;POINT(120.77560227823987 31.59167929940059)
32,-0.98016560077667,0.17912936210632,10,5,3,0,2,1,3.0,SRID=4326;POINT(120.77582353843016 31.59140411333018)
33,-0.9924436211586,-0.67944258451462,3,5,3,0,2,1,3.0,SRID=4326;POINT(120.77684718598566 31.59012076698438)
34,-0.98749458789825,-0.19760058820248,10,5,3,0,2,1,3.0,SRID=4326;POINT(120.77707052547974 31.58984744908121)
35,-0.69517660140991,0.61107301712036,10,5,3,0,1,1,4.59999990463257,SRID=4326;POINT(120.78001679881355 31.59357291718484)
36,-0.7522765994072,0.3405649960041,3,5,3,0,1,1,4.5,SRID=4326;POINT(120.78149590129532 31.59249161868756)
37,-1.26186656951904,-0.35875648260117,10,5,3,0,0,1,4.5,SRID=4326;POINT(120.78171127033704 31.59227196088499)
38,2.27081847190857,0.15459260344505,3,5,3,2,3,1,3.5,SRID=4326;POINT(120.77413283318513 31.58999823159242)
39,0.73050338029861,0.07287468761206,10,5,3,0,3,1,3.5,SRID=4326;POINT(120.77380456483799 31.59053848997337)
41,0.4474073946476,-0.02373521961272,3,5,3,0,3,1,3.5,SRID=4326;POINT(120.77441306850314 31.59279988320282)
42,0.47917237877846,-0.20238913595676,10,5,3,0,3,1,3.5,SRID=4326;POINT(120.77486614266644 31.59303220036799)
43,0.43082138895988,-0.08686635643244,3,5,3,0,2,1,3.5,SRID=4326;POINT(120.77633189000342 31.59366705582646)
44,0.52227741479874,-0.38658308982849,10,5,3,0,2,1,3.5,SRID=4326;POINT(120.776819510019 31.593914089976)
45,-0.65903663635254,-0.67984092235565,3,5,3,0,1,1,4.5,SRID=4326;POINT(120.7797325197173 31.59376348957034)
46,-2.62494492530823,0.19208063185215,10,5,3,0,1,1,4.5,SRID=4326;POINT(120.77975260593317 31.59356995412495)
47,-2.64648485183716,0.02727610990405,3,6,3,0,3,1,3.0,SRID=4326;POINT(120.77795736076176 31.59269186857993)
