Id Lon Lat utmX utmY heading curvature mode SpeedMode EventMode OppositeSideMode LaneNum LaneSeq LaneWidth
24 121.211657843 31.2814026401 329764.584993 3462168.86045 -1.57846105099 0.0 0 3 0 3 2 1 3.0
25 121.211657924 31.2813978527 329764.584074 3462168.32961 -1.57630574703 0.0 0 3 0 3 2 1 3.0
26 121.211658036 31.2813917355 329764.583792 3462167.65132 -1.5740737915 0.0 0 3 0 3 2 1 3.0
27 121.211658131 31.2813871094 329764.584493 3462167.13834 -1.57246303558 0.0 0 3 0 3 2 1 3.0
28 121.211658237 31.2813825446 329764.586416 3462166.63215 -1.57062005997 0.0 0 3 0 3 2 1 3.0
29 121.211658417 31.2813757459 329764.591299 3462165.8782 -1.56763291359 0.0 0 3 0 3 2 1 3.0
30 121.211658605 31.2813691029 329764.597277 3462165.1415 -1.56524085999 0.0 0 3 0 3 2 1 3.0
31 121.211658731 31.2813645143 329764.601023 3462164.63264 -1.56445944309 0.0 0 3 0 3 2 1 3.0
32 121.211658894 31.2813575962 329764.604078 3462163.86548 -1.5653809309 0.0 0 3 0 3 2 1 3.0
33 121.211658985 31.2813530554 329764.604601 3462163.36197 -1.56682610512 0.0 0 3 0 3 2 1 3.0
34 121.211659074 31.2813481673 329764.604299 3462162.81997 -1.5684684515 0.0 0 3 0 3 2 1 3.0
35 121.211659154 31.2813432315 329764.603052 3462162.27268 -1.57014334202 0.0 0 3 0 3 2 1 3.0
36 121.211659222 31.2813384021 329764.600798 3462161.73721 -1.57186853886 0.0 0 3 0 3 2 1 3.0
37 121.211659278 31.2813335011 329764.597322 3462161.19382 -1.57376372814 0.0 0 3 0 3 2 1 3.0
38 121.211659322 31.2813284368 329764.592481 3462160.63235 -1.57585418224 0.0 0 3 0 3 2 1 3.0
39 121.211659355 31.2813231214 329764.586077 3462160.04306 -1.57811772823 0.0 0 3 0 3 2 1 3.0
40 121.211659374 31.2813180853 329764.57876 3462159.48476 -1.58027589321 0.0 0 3 0 3 2 1 3.0
41 121.211659379 31.2813128435 329764.569898 3462158.90367 -1.58252179623 0.0 0 3 0 3 2 1 3.0
42 121.211659371 31.2813074239 329764.559362 3462158.30289 -1.58484280109 0.0 0 3 0 3 2 1 3.0
43 121.211659353 31.2813022151 329764.548242 3462157.7255 -1.58691084385 0.0 0 3 0 3 2 1 3.0
